NÚM.;AÑO;NIVEL;GÉNERO;GRADO;GRUPO;FECHA NAC;EDAD;NACIONALIDAD;EDO. ORIGEN;MUNICIPIO;NIVEL DE PROCEDENCIA;INGRESO;NIVEL ACTUAL;CATEGORÍA;UNIDAD ACADÉMICA;PROGRAMA EDUCATIVO;SEDE;EDO. SEDE;FECHA DE INGRESO;EDO. CIVIL;PAIS EST;LUGAR BACHILLERATO;INSTITUCIÓN;NUEVO INGRESO;LENGUA;AFRODESCENDIENTE;DISCAPACIDAD;TIPO DISCAPACIDAD
1;2022;MEDIO SUPERIOR;H;8;15;16/10/2004;17;MEXICANA;CHIAPAS;COMITAN DE DOMINGUEZ, CHIS.;PREPARATORIA;PROPEDÉUTICO;PROPEDÉUTICO;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PROPEDÉUTICO;URUSSE;TABASCO;5/08/2022;;;;;NI;;;;
2;2022;MEDIO SUPERIOR;H;8;16;2/02/2001;21;MEXICANA;CAMPECHE;CAMPECHE, CAMP.;PREPARATORIA;PROPEDÉUTICO;PROPEDÉUTICO;EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PROPEDÉUTICO;CRUPY;YUCATÁN;7/08/2022;;;;;NI;;;SÍ;Discapacidad visual Baja Visión
3;2022;MEDIO SUPERIOR;M;1;6;2/01/2007;15;MEXICANA;CHIAPAS;PALENQUE, CHIS.;SECUNDARIA;PREPARATORIA;MEDIO SUPERIOR;BECADO INTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;1/08/2022;;;;;NI;;;;
4;2022;LICENCIATURA;H;6;3;7/03/2000;22;MEXICANA;CAMPECHE;CARMEN, CAMP.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;EXTERNO;DEIS EN FITOTECNIA;INGENIERÍA AGRONÓMICA ESPECIALISTA EN FITOTECNIA;CHAPINGO;MÉXICO;6/09/2019;;;;;;;;;
5;2022;MEDIO SUPERIOR;H;1;5;2/08/2007;15;MEXICANA;VERACRUZ;ALPATLAHUAC, VER.;SECUNDARIA;PREPARATORIA;MEDIO SUPERIOR;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;2/08/2022;;;;;NI;;SÍ;;
6;2022;LICENCIATURA;M;5;1;10/05/2001;21;MEXICANA;OAXACA;SAN JUAN BAUTISTA TLACHICHILCO, OAX.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS ECONÓMICO ADMINISTRATIVAS;LICENCIATURA EN COMERCIO INTERNACIONAL;CHAPINGO;MÉXICO;12/04/2020;;;;;;;;;
7;2022;MEDIO SUPERIOR;H;8;24;11/07/2004;18;MEXICANA;GUERRERO;ACATEPEC GUERRERO;PREPARATORIA;PROPEDÉUTICO;PROPEDÉUTICO;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PROPEDÉUTICO;GUERRERO;GUERRERO;8/08/2022;;;;;NI;;SÍ;;
8;2022;LICENCIATURA;M;4;1;10/11/2003;18;MEXICANA;VERACRUZ;MISANTLA, VER.;PROPEDÉUTICO;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DEIS EN FITOTECNIA;INGENIERÍA AGRONÓMICA ESPECIALISTA EN FITOTECNIA;CHAPINGO;MÉXICO;9/06/2021;;;VERACRUZ;;NI;;SÍ;;
9;2022;LICENCIATURA;H;4;1;17/08/2002;20;MEXICANA;VERACRUZ;SOCHIAPA, VER.;PROPEDÉUTICO;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;CENTRO REGIONAL UNIVERSITARIO ORIENTE, VERACRUZ;INGENIERÍA EN GESTIÓN DE REDES AGROALIMENTARIAS;CRUO;VERACRUZ;9/06/2021;;;VERACRUZ;;NI;;;;
10;2022;MEDIO SUPERIOR;H;2;12;29/11/2002;19;MEXICANA;MÉXICO;TECAMAC, MEX.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;12/07/2020;;;;;;MIXTECO;;;
